mr	output
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[no]"	Aromi is a coffee shop serving english food in the city centre. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[yes]"	Aromi is a family-friendly coffee shop serving english food in the city centre with a customer rating of 5 out of 5.
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[no]"	Aromi is a coffee shop providing english food in the riverside area. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes]"	Aromi is a family friendly coffee shop serving english food in the riverside area with a customer rating of 5 out of 5.
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[no]"	Aromi is a coffee shop serving english food in the city centre. It has an average customer rating and is not family-friendly.
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes]"	Aromi is a family-friendly coffee shop serving english food in the city centre with an average customer rating.
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[no]"	Aromi is a coffee shop serving english food in the riverside area. It has an average customer rating and is not family-friendly.
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes]"	Aromi is a family friendly coffee shop serving english food in the riverside area. It has an average customer rating.
"name[Aromi], eatType[coffee shop], food[English], customer rating[high], area[riverside], familyFriendly[yes]"	Aromi is a child friendly coffee shop serving english food in the riverside area with a high customer rating.
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[city centre], familyFriendly[no]"	Aromi is a coffee shop serving english food in the city centre. It has a low customer rating and is not family-friendly.
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[city centre], familyFriendly[yes]"	Aromi is a family-friendly coffee shop serving english food in the city centre with a low customer rating.
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[no]"	Aromi is an english coffee shop in the riverside area. It has a low customer rating and is not family-friendly.
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[yes]"	Aromi is a family friendly coffee shop serving english food in the riverside area. It has a low customer rating.
"name[Bibimbap House], area[city centre], near[Café Sicilia]"	Bibimbap House is a restaurant near Café Sicilia in the city centre.
"name[Bibimbap House], area[riverside], near[Café Sicilia]"	Bibimbap House is located by the riverside near Café Sicilia.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop providing chinese food it is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is 1 out of 5.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop serving chinese food in the riverside area near Crowne Plaza Hotel. It has a customer rating of 3 out of 5 and is kid friendly.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a chinese coffee shop located in the city centre near Crowne Plaza Hotel. It has a customer rating of 5 out of 5 and is not family friendly.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family friendly chinese coffee shop located in the city centre near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a chinese coffee shop in the riverside area near Crowne Plaza Hotel. It has a customer rating of 5 out of 5 and is not family friendly.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop providing chinese food it is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is 5 out of 5.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a chinese coffee shop located in the city centre near Crowne Plaza Hotel. It has an average customer rating and is not family friendly.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family friendly chinese coffee shop located in the city centre near Crowne Plaza Hotel. It has an average customer rating.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a chinese coffee shop in the riverside area near Crowne Plaza Hotel. It has an average customer rating and is not family friendly.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family friendly chinese coffee shop located in the riverside area near Crowne Plaza Hotel. It has an average customer rating.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop providing chinese food it is located in the riverside. It is near Crowne Plaza Hotel and its customer rating is high.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a chinese coffee shop located in the city centre near Crowne Plaza Hotel. It has a low customer rating and is not family friendly.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family friendly chinese coffee shop located near Crowne Plaza Hotel in the city centre.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a chinese coffee shop in the riverside area near Crowne Plaza Hotel. It has a low customer rating and is not family friendly.
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family friendly coffee shop that serves chinese food. It has a low customer rating and is located in the riverside area near Crowne Plaza Hotel.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop providing english food. It is located in the riverside area near Crowne Plaza Hotel. It has a customer rating of 1 out of 5 and is kid friendly.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a kid friendly coffee shop serving english food near Crowne Plaza Hotel in the riverside area. It has a customer rating of 3 out of 5.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop serving english food near Crowne Plaza Hotel in the city centre. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family-friendly coffee shop serving english food with a customer rating of 5 out of 5. It is located in the city centre near Crowne Plaza Hotel.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop serving english food near Crowne Plaza Hotel in the riverside area. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family friendly coffee shop serving english food near Crowne Plaza Hotel in the riverside area. It has a customer rating of 5 out of 5.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop serving english food near Crowne Plaza Hotel in the city centre. It has an average customer rating and is not family-friendly.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family-friendly coffee shop serving english food near Crowne Plaza Hotel in the city centre. It has an average customer rating.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop serving english food near Crowne Plaza Hotel in the riverside area. It has an average customer rating and is not family-friendly.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family friendly coffee shop serving english food near Crowne Plaza Hotel in the riverside area. It has an average customer rating.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a children friendly coffee shop serving english food near Crowne Plaza Hotel in the riverside area. It has a high customer rating.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop serving english food near Crowne Plaza Hotel in the city centre. It has a low customer rating and is not family-friendly.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family-friendly coffee shop serving english food near Crowne Plaza Hotel in the city centre with a low customer rating.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	Browns Cambridge is a coffee shop serving english food near Crowne Plaza Hotel in the riverside area. It has a low customer rating and is not family-friendly.
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Browns Cambridge is a family friendly coffee shop serving english food near Crowne Plaza Hotel in the riverside area. It has a low customer rating.
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], near[Clare Hall]"	Clowns is a coffee shop serving chinese food in the riverside area near Clare Hall. It has a customer rating of 1 out of 5.
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], near[Clare Hall]"	Clowns is a coffee shop serving chinese food in the riverside area near Clare Hall. It has a customer rating of 3 out of 5.
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], near[Clare Hall]"	Clowns is a coffee shop serving chinese food with a customer rating of 5 out of 5. It is located in the city centre near Clare Hall.
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], near[Clare Hall]"	Clowns is a coffee shop providing chinese food it is located in the riverside. It is near Clare Hall. Its customer rating is 5 out of 5.
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], near[Clare Hall]"	Clowns is a chinese coffee shop located in the city centre near Clare Hall. It has an average customer rating.
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], near[Clare Hall]"	Clowns is a chinese coffee shop located in the riverside area near Clare Hall. It has an average customer rating.
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], near[Clare Hall]"	Clowns is a highly rated coffee shop that serves chinese food in the riverside area near Clare Hall.
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], near[Clare Hall]"	Clowns is a coffee shop that serves chinese food. It has a low customer rating and is located in the city centre near Clare Hall.
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], near[Clare Hall]"	Clowns is a coffee shop that serves chinese food. It has a low customer rating and is located in the riverside area near Clare Hall.
"name[Clowns], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], near[Clare Hall]"	Clowns is a coffee shop providing english food in the riverside area near Clare Hall. It has a customer rating of 1 out of 5.
"name[Clowns], eatType[coffee shop], food[English], customer rating[3 out of 5], area[riverside], near[Clare Hall]"	Clowns is a coffee shop serving english food near Clare Hall in the riverside area. It has a customer rating of 3 out of 5.
"name[Clowns], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], near[Clare Hall]"	Clowns is an english coffee shop near Clare Hall in the city centre. It has a customer rating of 5 out of 5.
"name[Clowns], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], near[Clare Hall]"	Clowns is an english coffee shop near Clare Hall in the riverside area. It has a customer rating of 5 out of 5.
"name[Clowns], eatType[coffee shop], food[English], customer rating[average], area[city centre], near[Clare Hall]"	Clowns is an average rated english coffee shop near Clare Hall in the city centre.
"name[Clowns], eatType[coffee shop], food[English], customer rating[average], area[riverside], near[Clare Hall]"	Clowns is a coffee shop serving english food near Clare Hall in the riverside area. It has an average customer rating.
"name[Clowns], eatType[coffee shop], food[English], customer rating[high], area[riverside], near[Clare Hall]"	Clowns is a highly rated coffee shop that serves english food near Clare Hall in the riverside area.
"name[Clowns], eatType[coffee shop], food[English], customer rating[low], area[city centre], near[Clare Hall]"	Clowns is a coffee shop located in the city centre near Clare Hall. It serves english food and has a low customer rating.
"name[Clowns], eatType[coffee shop], food[English], customer rating[low], area[riverside], near[Clare Hall]"	Clowns is a low - rated coffee shop located near Clare Hall.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], familyFriendly[no]"	Cocum is a chinese coffee shop with a price range of £20-25. It has a high customer rating and is not kid friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], familyFriendly[yes]"	Cocum is a highly rated, kid friendly coffee shop that serves moderately priced chinese food.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], familyFriendly[no]"	Cocum is a cheap chinese coffee shop with a customer rating of 5 out of 5 and is not family friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], familyFriendly[yes]"	Cocum is a cheap, family friendly coffee shop serving chinese food with a 5 out of 5 customer rating.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], familyFriendly[no]"	Cocum is a cheap chinese coffee shop with an average customer rating and is not family friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], familyFriendly[yes]"	Cocum is a cheap, family friendly coffee shop that serves chinese food and has an average customer rating.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], familyFriendly[no]"	Cocum is a high priced chinese coffee shop with a customer rating of 1 out of 5. It is not children friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], familyFriendly[yes]"	Cocum is a high priced coffee shop that serves chinese food. It is child friendly and has a customer rating of 1 out of 5.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], familyFriendly[no]"	Cocum is a high priced chinese coffee shop with an average customer rating and is not child friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], familyFriendly[yes]"	Cocum is a high priced coffee shop that serves chinese food. It has an average customer rating and is child friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], familyFriendly[no]"	Cocum is a low-priced chinese coffee shop with a low customer rating. It is not family friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], familyFriendly[yes]"	Cocum is a low rated, family friendly coffee shop that serves chinese food for less than £20.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], familyFriendly[no]"	Cocum is a moderately priced chinese coffee shop with a customer rating of 1 out of 5. It is not kid friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], familyFriendly[yes]"	Cocum is a kid friendly coffee shop that serves moderately priced chinese food with a customer rating of 1 out of 5.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], familyFriendly[no]"	Cocum is a moderately priced chinese coffee shop with a customer rating of 3 out of 5. It is not kid friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], familyFriendly[yes]"	Cocum is a kid friendly coffee shop serving moderately priced chinese food with a customer rating of 3 out of 5.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], familyFriendly[no]"	Cocum is a chinese coffee shop with a high customer rating and a price range of more than £30. It is not children friendly.
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], familyFriendly[yes]"	Cocum is a highly rated, child friendly coffee shop that serves expensive chinese food.
"name[Cocum], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], familyFriendly[no]"	Cocum is an english coffee shop with a price range of £20-25. It has a high customer rating and is not kid friendly.
"name[Cocum], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], familyFriendly[yes]"	Cocum is a kid friendly coffee shop serving english food with a high customer rating and a price range of £20-25.
"name[Cocum], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], familyFriendly[no]"	Cocum is a cheap coffee shop serving english food with a customer rating of 5 out of 5. It is not family-friendly.
"name[Cocum], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], familyFriendly[yes]"	Cocum is a family friendly coffee shop serving cheap english food with a 5 out of 5 customer rating.
"name[Cocum], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], familyFriendly[no]"	Cocum is a cheap english coffee shop with an average customer rating. It is not family-friendly.
"name[Cocum], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], familyFriendly[yes]"	Cocum is a cheap family friendly coffee shop serving english food. It has an average customer rating.
"name[Cocum], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], familyFriendly[no]"	Cocum is a high priced coffee shop serving english food. It has a customer rating of 1 out of 5 and is not child friendly.
"name[Cocum], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], familyFriendly[yes]"	Cocum is a children friendly coffee shop serving english food. It has a high price range and a customer rating of 1 out of 5.
"name[Cocum], eatType[coffee shop], food[English], priceRange[high], customer rating[average], familyFriendly[no]"	Cocum is a high priced coffee shop serving english food. It has an average customer rating and is not child friendly.
"name[Cocum], eatType[coffee shop], food[English], priceRange[high], customer rating[average], familyFriendly[yes]"	Cocum is an expensive, family friendly coffee shop with an average rating.
"name[Cocum], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], familyFriendly[no]"	Cocum is a low-priced coffee shop serving english food. It is not family-friendly and has a low customer rating.
"name[Cocum], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], familyFriendly[yes]"	Cocum is a family friendly coffee shop serving english food in the low price range.
"name[Cocum], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], familyFriendly[no]"	Cocum is a moderately priced coffee shop serving english food. It has a customer rating of 1 out of 5 and is not kid friendly.
"name[Cocum], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], familyFriendly[yes]"	Cocum is a kid friendly coffee shop that serves moderately priced english food with a customer rating of 1 out of 5.
"name[Cocum], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], familyFriendly[no]"	Cocum is a moderately priced coffee shop serving english food. It has a customer rating of 3 out of 5 and is not kid friendly.
"name[Cocum], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], familyFriendly[yes]"	Cocum is a kid friendly coffee shop serving moderately priced english food with a customer rating of 3 out of 5.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the £20-25 price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is high.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the £20-25 price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is high.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], near[The Portland Arms]"	Cotto is a cheap chinese coffee shop located in the city centre near The Portland Arms. It has a customer rating of 5 out of 5.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the cheap price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is 5 out of 5.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the cheap price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is average.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the cheap price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is average.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the high price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is 1 out of 5.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the high price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is 1 out of 5.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[city centre], near[The Portland Arms]"	Cotto is a high priced chinese coffee shop located in the city centre near The Portland Arms. It has an average customer rating.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[riverside], near[The Portland Arms]"	Cotto is a high priced chinese coffee shop located in the riverside area near The Portland Arms. It has an average customer rating.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the less than £20 price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is low.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the less than £20 price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is low.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the moderate price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is 1 out of 5.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the moderate price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is 1 out of 5.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the moderate price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is 3 out of 5.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the moderate price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is 3 out of 5.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the more than £30 price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is high.
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], near[The Portland Arms]"	Cotto is a coffee shop providing chinese food in the more than £30 price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is high.
